"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"mineral water","barbecue sauce","","","","","","","","","","","","","","","","","",""
"spaghetti","chocolate","brownies","white wine","green tea","","","","","","","","","","","","","","",""
"spaghetti","champagne","","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","mineral water","milk","black tea","french wine","cider","chutney","salmon","","","","","","","","","","",""
"avocado","cider","cake","french fries","melons","","","","","","","","","","","","","","",""
"tomatoes","spaghetti","mineral water","meatballs","milk","chicken","rice","frozen smoothie","shampoo","tomato juice","cauliflower","candy bars","","","","","","","",""
"mineral water","chocolate","","","","","","","","","","","","","","","","","",""
"burger sauce","oil","","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"meatballs","french wine","","","","","","","","","","","","","","","","","",""
"cake","french fries","hot dogs","sparkling water","","","","","","","","","","","","","","","",""
"soup","eggs","","","","","","","","","","","","","","","","","",""
"chicken","eggs","","","","","","","","","","","","","","","","","",""
"burgers","grated cheese","ground beef","spaghetti","mineral water","chocolate","milk","olive oil","almonds","soda","chicken","green tea","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"turkey","mineral water","whole wheat rice","body spray","energy drink","green tea","","","","","","","","","","","","","",""
"herb & pepper","tomatoes","pepper","mineral water","cooking oil","french fries","frozen smoothie","fresh bread","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"muffins","honey","","","","","","","","","","","","","","","","","",""
"eggs","cookies","","","","","","","","","","","","","","","","","",""
"shrimp","tomatoes","spaghetti","","","","","","","","","","","","","","","","",""
"nonfat milk","","","","","","","","","","","","","","","","","","",""
"tomatoes","spaghetti","","","","","","","","","","","","","","","","","",""
"eggs","champagne","","","","","","","","","","","","","","","","","",""
"herb & pepper","cooking oil","escalope","zucchini","","","","","","","","","","","","","","","",""
"champagne","cookies","green tea","","","","","","","","","","","","","","","","",""
"spaghetti","muffins","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"shrimp","black tea","eggs","cake","","","","","","","","","","","","","","","",""
"turkey","eggs","","","","","","","","","","","","","","","","","",""
"herb & pepper","mineral water","soup","milk","french wine","pancakes","eggs","honey","oil","champagne","magazines","mayonnaise","","","","","","","",""
"chutney","eggs","body spray","","","","","","","","","","","","","","","","",""
"spaghetti","chocolate","olive oil","fromage blanc","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"parmesan cheese","french fries","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"shrimp","tomatoes","chocolate","eggs","oil","french fries","escalope","mushroom cream sauce","sandwich","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
